distance,X,Y,Z,V,max,may,maz,mav
139.079,-0.086191,-4.357447,-9.102755,10.092319,-0.347,-4.138,-9.382,10.268
139.099,-0.47884,-4.185065,-8.355764,9.357503,-0.294,-4.337,-9.301,10.273
139.119,0.076614,-3.586514,-8.963891,9.655066,-0.279,-4.134,-9.048,9.96
139.139,-1.221043,-3.361459,-9.581595,10.227283,-0.427,-3.873,-9.001,9.833
139.159,-0.526724,-3.428497,-8.049306,8.764893,-0.538,-3.64,-8.738,9.501
139.179,-0.814029,-3.189077,-9.11712,9.693025,-0.621,-3.391,-8.928,9.585
139.199,-0.627281,-4.29041,-8.269572,9.337394,-0.797,-3.567,-8.754,9.506
139.219,-0.593762,-4.218584,-9.5385,10.446625,-0.64,-3.782,-8.744,9.561
139.239,0.148441,-4.750096,-9.65821,10.764129,-0.472,-4.112,-9.146,10.06
139.259,-0.052672,-4.462792,-9.11712,10.150919,-0.281,-4.43,-9.146,10.175
139.279,-0.440533,-3.8403,-9.002198,9.797017,-0.235,-4.318,-9.329,10.29
139.299,-0.067038,-3.969586,-9.045294,9.878231,-0.103,-4.256,-9.206,10.148
139.322,-0.90022,-3.351882,-10.036493,10.619638,-0.365,-3.906,-9.3,10.111
139.339,-1.264138,-3.979163,-9.126697,10.036353,-0.668,-3.785,-9.303,10.083
139.362,0.148441,-3.471592,-8.686164,9.355396,-0.521,-3.693,-9.224,9.972
139.379,-0.842759,-3.811569,-8.949526,9.763827,-0.715,-3.654,-9.2,9.944
139.399,-0.402226,-3.945644,-9.198523,10.017121,-0.59,-3.802,-8.99,9.793
139.419,-0.727837,-3.758897,-9.198523,9.963527,-0.456,-3.747,-9.008,9.775
139.442,-0.603339,-4.271256,-9.595961,10.520936,-0.644,-3.947,-9.236,10.066
139.459,-0.234632,-4.165911,-9.174581,10.078829,-0.492,-4.035,-9.292,10.145
139.479,-0.435745,-3.835511,-8.983045,9.777327,-0.5,-4.008,-9.238,10.085
139.499,-0.632069,-3.768473,-9.222465,9.982723,-0.476,-4.01,-9.244,10.09
139.522,-0.804452,-3.366248,-9.332599,9.953701,-0.527,-3.784,-9.178,9.948
139.539,-0.416591,-3.371036,-8.37013,9.033078,-0.572,-3.585,-8.977,9.687
139.559,-0.612916,-3.323152,-7.862558,8.557969,-0.617,-3.457,-8.697,9.382
139.579,-0.23942,-3.715801,-7.85777,8.695346,-0.518,-3.444,-8.356,9.06
139.601,-0.344765,-4.194642,-9.849746,10.711273,-0.403,-3.651,-8.485,9.249
139.619,-1.25935,-4.683059,-10.697293,11.745173,-0.614,-3.979,-9.067,9.927
139.639,-0.258574,-4.707001,-9.552865,10.652697,-0.526,-4.325,-9.489,10.451
139.659,0.052672,-3.787627,-8.60955,9.406021,-0.453,-4.343,-9.677,10.629
139.682,-0.488417,-3.936068,-8.51857,9.39666,-0.488,-4.278,-9.345,10.3
139.699,-1.288081,-3.093309,-9.016563,9.61905,-0.496,-3.881,-8.924,9.769
139.719,-0.354342,-3.734955,-8.968679,9.721762,-0.52,-3.638,-8.778,9.536
139.739,-0.493206,-3.457227,-9.222465,9.861517,-0.656,-3.555,-8.932,9.65
139.762,-0.972046,-4.084508,-9.361329,10.259754,-0.777,-3.592,-9.142,9.866
139.779,-1.297657,-4.132392,-10.386047,11.253024,-0.779,-3.852,-9.485,10.274
139.799,-0.244209,-4.084508,-9.380483,10.234075,-0.752,-3.94,-9.588,10.402
139.819,-1.024718,-3.605668,-9.500193,10.21296,-0.885,-3.977,-9.657,10.49
139.842,-0.306458,-3.39019,-8.207323,8.885238,-0.718,-3.803,-9.368,10.146
139.859,-0.972046,-3.356671,-9.955091,10.550637,-0.637,-3.609,-9.261,9.971
139.879,-0.924162,-4.256891,-9.097966,10.08703,-0.807,-3.652,-9.19,9.934
139.899,-0.191536,-3.955221,-9.77792,10.549321,-0.599,-3.74,-9.26,10.018
139.919,-0.383072,-4.041412,-8.494628,9.4148,-0.618,-3.903,-9.331,10.15
139.939,-0.038307,-3.313575,-8.695741,9.305759,-0.384,-3.892,-9.017,9.839
139.959,-0.282516,-3.529053,-8.671799,9.36665,-0.224,-3.71,-8.91,9.659
139.979,-1.024718,-4.084508,-9.840169,10.703372,-0.432,-3.742,-8.926,9.698
140.002,-0.766145,-4.1707,-10.702082,11.511571,-0.528,-3.774,-9.477,10.222
140.019,-0.962469,-4.865018,-10.884041,11.960647,-0.759,-4.162,-10.025,10.886
140.039,-0.42138,-4.046201,-9.366117,10.211438,-0.794,-4.292,-10.198,11.097
140.059,-0.373495,-3.845088,-7.996634,8.880898,-0.631,-4.232,-9.737,10.641
140.081,-0.110133,-3.131616,-8.60955,9.162068,-0.467,-3.972,-9.214,10.054
140.099,-1.264138,-3.414132,-10.453085,11.068935,-0.542,-3.609,-9.106,9.831
140.119,-1.292869,-4.247314,-10.175357,11.10176,-0.76,-3.66,-9.309,10.053
140.139,-0.114922,-4.299986,-9.586384,10.507228,-0.696,-3.773,-9.706,10.46
140.162,-0.277727,-3.74932,-8.935161,9.693896,-0.737,-3.928,-9.787,10.593
140.179,-0.086191,-4.103662,-8.51857,9.455871,-0.443,-4.1,-9.304,10.19
140.199,-0.885855,-3.687071,-10.572795,11.23224,-0.341,-3.96,-9.403,10.222
